art_work_id,art_work_url,art_work_url_locale,art_work_preview,artwork_desc,price,original_price,flexible_price,seo_prefix,seo_suffix,type,custom_banner_img,custom_banner_href,custom_banner_text,video_sprite,price_numeric,original_price_numeric,no_index,item_option,device_short_desc,product_short_desc,category_display_name,item_type_description,device_short_name,custom_image_artwork_id,artwork_disallow_discount,price_usd,artwork_status,product_suffix,product_type_id,artwork_meta,device_type_id,availability,color_options,full_color_options_count,_score,tags.productMeta.dlp_print_highlight_key,tags.productMeta.dlp_customizer_highlight_key,tags.isColabArtwork,tags.Customizable,tags.ArtworkGroup,tags.promotionArtwork,tags.isArtist,tags.artistName,tags.artistUrl,tags.isInfluencer,tags.isBfcmWhitelist,tags.productMeta
32349846,/product/sonny-angel-harvest-heart-strawberry-atwgp2/iphone-15-pro-max/recasetify-impact-case#/16005970,/product/sonny-angel-harvest-heart-strawberry-atwgp2/iphone-15-pro-max/recasetify-impact-case#/16005970,https://cdn-image02.casetify.com/usr/4787/34787/~v182/32349846_iphone-15-pro-max__color_natural-titanium_16005970.png.350x350-r.m80.webp,Sonny Angel Harvest Heart Strawberry,$68,,,iPhone 15 Pro Max,,artwork,,,,,68,,True,16005970,iPhone 15 Pro Max,Impact Case,iPhone,Black,iphone-15-pro-max,,True,68,N,Case,1203,,1062,A,[16005970],1,,DLP_HIGHLIGHT_RECASETiFY,DLP_HIGHLIGHT_RECASETiFY,True,False,Sonny Angel Harvest Heart Strawberry,False,False,,,False,False,
32536220,/product/wolverine-pattern-case/iphone-15-pro-max/magsafe-compatible-leather-case#/16006021,/product/wolverine-pattern-case/iphone-15-pro-max/magsafe-compatible-leather-case#/16006021,https://cdn-image02.casetify.com/usr/4787/34787/~v182/32536220_iphone-15-pro-max__color_natural-titanium_16006021.png.350x350-r.m80.webp,Wolverine Pattern Case,$72,,,iPhone 15 Pro Max,,artwork,,,,,72,,True,16006021,iPhone 15 Pro Max,Pebbled Case MagSafe Compatible,iPhone,Jet Black,iphone-15-pro-max,,True,72,N,Case,1125,,1062,A,[16006021],1,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,True,False,,False,False,,,False,False,
30701510,/product/phone-case-customization/iphone-15-pro-max/mirror-case-with-magsafe#/16006008,/product/phone-case-customization/iphone-15-pro-max/mirror-case-with-magsafe#/16006008,https://cdn-image02.casetify.com/usr/15190/38655190/~v183/30701510_iphone-15-pro-max__color_natural-titanium_16006008.png.350x350-r.m80.webp,Custom Phone Case,$72,,,iPhone 15 Pro Max MagSafe Mirror,,artwork,,,,,72,,True,16006008,iPhone 15 Pro Max,Mirror Case MagSafe Compatible,iPhone,Silver on Silver,iphone-15-pro-max,,False,72,N,Case,1087,,1062,A,"[16006006, 16006007, 16006008]",3,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,False,True,,False,False,,,False,False,
30703688,/product/phone-case-customization/iphone-15-pro-max/clear-case#/16006058,/product/phone-case-customization/iphone-15-pro-max/clear-case#/16006058,https://cdn-image02.casetify.com/usr/20520/38660520/~v184/30703688_iphone-15-pro-max__color_natural-titanium_16006058.png.350x350-r.m80.webp,Custom Phone Case,$72,,,iPhone 15 Pro Max,,artwork,,,,,72,,True,16006058,iPhone 15 Pro Max,Clear Case MagSafe Compatible,iPhone,Clear,iphone-15-pro-max,,False,72,N,Case,1181,,1062,A,"[16006058, 16006589]",2,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,False,True,,False,False,,,False,False,
31309891,/product/the-stick-it-case#16006602,/product/the-stick-it-case#16006602,https://cdn-image02.casetify.com/img-proxy/png/0/0/350x/cdn-stamplib.casetify.com/cms/image/b2be8b9eb4537f55a7658cf63e48562e.png,The Stick-It Case - Black - iPhone 15 Pro Max ,$58,,,iPhone 15 Pro Max,,artwork,,,,,58,,True,16006602,iPhone 15 Pro Max,The Stick-It Case,iPhone,Black,iphone-15-pro-max,,False,58,S,Case,1367,,1062,A,"[16006602, 16006603]",2,,,,False,False,,False,False,,,False,False,[]
29865073,/product/ripple-case#16006164,/product/ripple-case#16006164,https://cdn-image02.casetify.com/img-proxy/png/0/0/350x/cdn-stamplib.casetify.com/cms/image/2249d575684b117419b81c88f6f6e342.png,Ripple Case - White - iPhone 15 Pro Max,$62,,,iPhone 15 Pro Max,,artwork,,,,,62,,True,16006164,iPhone 15 Pro Max,Ripple Case,iPhone,White,iphone-15-pro-max,,True,62,S,Case,1329,,1062,A,"[16006163, 16006164, 16006486, 16006488, 16006532, 16006984, 16006986, 16007389, 16007390]",9,,DLP_HIGHLIGHT_MAGSAFE,,False,False,,False,False,,,False,False,
12692439,/product/phone-case-customization/iphone-15-pro-max/magsafe-compatible-leather-case#/16006022,/product/phone-case-customization/iphone-15-pro-max/magsafe-compatible-leather-case#/16006022,https://cdn-image02.casetify.com/usr/4787/34787/~v1782/12692439_iphone-15-pro-max__color_natural-titanium_16006022.png.350x350-r.m80.webp,Custom Phone Case,$72,,,iPhone 15 Pro Max,,artwork,,,,,72,,True,16006022,iPhone 15 Pro Max,Pebbled Case MagSafe Compatible,iPhone,Greige,iphone-15-pro-max,,False,72,N,Case,1125,,1062,A,"[16006021, 16006022, 16006023, 16006024]",4,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,False,False,,False,False,,,True,False,
29236691,/product/eleanor-by-ivory-paper-co/iphone-15-pro-max/ultra-bounce-case-magsafe-compatible#/16005996,/product/eleanor-by-ivory-paper-co/iphone-15-pro-max/ultra-bounce-case-magsafe-compatible#/16005996,https://cdn-image02.casetify.com/usr/26593/34196593/~v183/29236691_iphone-15-pro-max__color_natural-titanium_16005996.png.350x350-r.m80.webp,Eleanor by Ivory Paper Co,$112,,,iPhone 15 Pro Max,,artwork,,,,,112,,True,16005996,iPhone 15 Pro Max,Ultra Bounce Case MagSafe Compatible,iPhone,Black,iphone-15-pro-max,,False,112,N,Case,1318,,1062,A,[16005996],1,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,False,False,,False,True,Ivory Paper Co,/artist/ivory-paper-co,False,False,
25596506,/product/LRbWn_cheetah-paradise-pink-by-bodil-jane/iphone-15-pro-max/clear-case#/16006058,/product/LRbWn_cheetah-paradise-pink-by-bodil-jane/iphone-15-pro-max/clear-case#/16006058,https://cdn-image02.casetify.com/usr/9516/2769516/~v3784/25596506_iphone-15-pro-max__color_natural-titanium_16006058.png.350x350-r.m80.webp,Cheetah Paradise Pink,$72,,,iPhone 15 Pro Max,,artwork,,,,,72,,True,16006058,iPhone 15 Pro Max,Clear Case MagSafe Compatible,iPhone,Clear,iphone-15-pro-max,,False,72,N,Case,1181,,1062,A,"[16006058, 16006589]",2,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,False,False,,False,True,Bodil Jane,/artist/bodiljane,False,False,
30074443,/product/pink-pastel-cute-floral/iphone-15-pro-max/ultra-bounce-case-magsafe-compatible#/16005996,/product/pink-pastel-cute-floral/iphone-15-pro-max/ultra-bounce-case-magsafe-compatible#/16005996,https://cdn-image02.casetify.com/usr/25496/1195496/~v183/30074443_iphone-15-pro-max__color_natural-titanium_16005996.png.350x350-r.m80.webp,pink pastel cute floral,$112,,,iPhone 15 Pro Max,,artwork,,,,,112,,True,16005996,iPhone 15 Pro Max,Ultra Bounce Case MagSafe Compatible,iPhone,Black,iphone-15-pro-max,,False,112,N,Case,1318,,1062,A,[16005996],1,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,False,False,,False,True,Marta Olga Klara,/artist/marta-olga-klara,False,False,
25508192,/product/clown-kitty-by-so-lazo/iphone-15-pro-max/bounce-case#/16006965,/product/clown-kitty-by-so-lazo/iphone-15-pro-max/bounce-case#/16006965,https://cdn-image02.casetify.com/usr/4078/28234078/~v288/25508192_iphone-15-pro-max__color_natural-titanium_16006965.png.350x350-r.m80.webp,CLOWN KITTY,$68,$82,,iPhone 15 Pro Max,,artwork,,,,,68,82.0,True,16006965,iPhone 15 Pro Max,Bounce Case MagSafe Compatible,iPhone,Matte Purple,iphone-15-pro-max,,False,68,N,Case,1154,,1062,A,"[16005992, 16005993, 16005994, 16006200, 16006961, 16006965, 16006969]",7,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,False,False,CLOWN KITTY,False,True,So Lazo,/artist/solazo,False,False,
